name,model,display_resolution,OS,processor,Chipset,GPU,memory,storage,ram,primary_camera,secondary_camera,loud_speaker,audio_jack,sensors,battery,colors,price,img_url,,,
Acer,Liquid Z200,4.0 inches (~55.6% screen-to-body ratio),Android 4.4.2 (KitKat),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP,No,Yes,Yes,Accelerometer,Removable Li-Ion 1300 mAh battery,Titanium Black| Essential White| Fragrant Pink| Sky Blue| Sunshine Yellow,90,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z200.jpg,,,
Acer,Iconia Tab 8 A1-840FHD,8.0 inches (~66.4% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.86 GHz,Intel Atom Z3745,Intel Gen 7 (Ivy Bridge),microSD  up to 32 GB (dedicated slot),16/32 GB,2 GB RAM,5 MP,2 MP,Yes,Yes,Accelerometer,Non-removable Li-Ion 4600 mAh battery,Silver,200,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg,,,
Acer,Iconia Tab 7 A1-713,7.0 inches (~64.5% screen-to-body ratio),Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat),Quad-core,,,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,2 MP,Yes,Yes,Yes,Accelerometer,Non-removable Li-Ion battery,Black,110,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,,,
Acer,Iconia Tab 7 A1-713HD,7.0 inches (~66.4% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core,,,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,5 MP,Yes,Yes,Yes,Accelerometer,Non-removable Li-Ion battery,Black,150,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,,,
Acer,Iconia One 7 B1-730,7.0 inches (~66.4% screen-to-body ratio),Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat),Dual-core 1.6 GHz,Intel Atom Z2560,PowerVR SGX544MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP,Yes,Yes with stereo speakers,Yes,Accelerometer,Non-removable Li-Ion 3700 mAh battery,Red| white| black| blue| pink,90,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-7.jpg,,,
Acer,Liquid E3 Duo Plus,4.7 inches (~64.0% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,2 MP| LED flash,Yes,Yes,Accelerometer| proximity,Non-removable Li-Ion battery,Black,240,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-plus.jpg,,,
Acer,Liquid E3,4.7 inches (~65.8% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,13 MP| autofocus| LED flash,2 MP| LED flash,Yes,Yes,Accelerometer| proximity,Non-removable Li-Ion battery,Black/White,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-new.jpg,,,
Acer,Liquid Z4,4.0 inches (~57.4% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,1.3 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 1630 mAh battery,Black/White,100,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z4.jpg,,,
Acer,Iconia B1-721,7.0 inches (~56.7% screen-to-body ratio),Android 4.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,Mediatek MT8312,Mali-400,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,VGA,No,Yes,Yes,Accelerometer,Non-removable Li-Po 2955 mAh battery,Black/Red,130,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-721.jpg,,,
Acer,Iconia B1-720,7.0 inches (~57.1% screen-to-body ratio),Android 4.2 (Jelly Bean),Dual-core 1.3 GHz,Mediatek MT8111,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),8/16 GB,1 GB RAM,VGA,No,Yes,Yes,Accelerometer,Non-removable Li-Po 2955 mAh battery,Various,100,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-b1-720.jpg,,,
Acer,Iconia A1-830,7.9 inches (~68.8% screen-to-body ratio),Android 4.2 (Jelly Bean),Dual-core 1.6 GHz,Intel Atom Z2560,PowerVR SGX544MP2,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,5 MP| autofocus,2 MP,Yes,Yes,Accelerometer,Non-removable Li-Ion 4000 mAh battery,White,130,http://cdn2.gsmarena.com/vv/bigpic/Acer-Iconia-A1-830.jpg,,,
Acer,Liquid Z5,5.0 inches (~64.4% screen-to-body ratio),Android 4.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Accelerometer| proximity,Non-removable Li-Ion 2000 mAh battery,Essential White| Gentle Grey,170,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,,,
